05940E4D-C5C9-493F-86EB-98E1A6CBF1F7#appfire#01.1001.1002.1004.#appfire##appfire#Klickakart.klickakart.web.com.shop.view.organization.contactmanagement.GenderMain#appfire##appfire#1#appfire#0#appfire#Gender#appfire##appfire#6CD2A24A-25C3-4598-BC3C-7A5FE6DBD7BF#appfire#1#appfire#1#appfire#\N#appfire#0#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#2016-05-30 21:05:01#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#2016-05-30 21:05:01#appfire#1#appfire#1#appfire#51000#appfire#0
069F3C63-2B2D-4631-BFED-8FFAF57609CA#appfire#04.1001.1005.#appfire##appfire##appfire#\N#appfire#1#appfire#0#appfire#Tools#appfire##appfire#null#appfire#1#appfire#1#appfire#\N#appfire#0#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#2016-05-30 21:05:01#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#2016-05-30 21:05:01#appfire#1#appfire#1#appfire#51000#appfire#0
0765B174-1B5F-47EC-B67D-D1DCF99F7886#appfire#01.1001.1001.1001.#appfire##appfire#Klickakart.klickakart.web.com.shop.view.organization.locationmanagement.TimezoneMain#appfire##appfire#1#appfire#0#appfire#Timezone#appfire##appfire#744D0493-DFCE-4BCE-9053-D9972CF5619C#appfire#1#appfire#1#appfire#\N#appfire#0#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#2016-05-30 21:05:01#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#2016-05-30 21:05:01#appfire#1#appfire#1#appfire#51000#appfire#0
1627AA89-6F7B-4AAE-9BC5-4D7717FED2FE#appfire#04.1001.1003.1001.#appfire##appfire#Klickakart.view.apphealth.AppHealthTabPanel#appfire##appfire#1#appfire#0#appfire#Health Configuration#appfire##appfire#null#appfire#1#appfire#1#appfire#\N#appfire#0#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#2016-05-30 21:05:01#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#2016-05-30 21:05:01#appfire#1#appfire#1#appfire#51000#appfire#0
1A9D2DD4-BB8A-4CFA-AF5C-6C5D16DE6CD2#appfire#03.1002.#appfire##appfire#Klickakart.view.appreportui.ReportView#appfire##appfire#1#appfire#0#appfire#Item Stock#appfire##appfire#720A8325-F59C-4669-8493-0731261600DE#appfire#1#appfire#1#appfire#\N#appfire#0#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#2016-05-30 21:05:01#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#2016-05-30 21:05:01#appfire#1#appfire#1#appfire#51000#appfire#0
1B1E623F-6EC7-4C45-A61B-FFD9D91D15F2#appfire#04.1001.1001.#appfire##appfire##appfire#\N#appfire#1#appfire#0#appfire#App Insight#appfire##appfire#null#appfire#1#appfire#1#appfire#\N#appfire#0#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#2016-05-30 21:05:01#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#2016-05-30 21:05:01#appfire#1#appfire#1#appfire#51000#appfire#0
1CBAC57C-B663-4CCB-BA66-A1A3A50D8604#appfire#01.1001.1001.1002.#appfire##appfire#Klickakart.klickakart.smartdevice.com.shop.view.shoppingcontext.retail.OrderProcessinggg#appfire#{"homeScreen":false}#appfire#1#appfire#0#appfire#Order Processing#appfire##appfire#0831B8D6-69F5-4304-BC37-B04452D2FFA5#appfire#1#appfire#2#appfire#\N#appfire#0#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#2016-05-31 13:42:26#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#2016-05-31 13:42:26#appfire#1#appfire#1#appfire#51000#appfire#0
1F02CE4A-422C-4184-BACB-C401306EABE6#appfire#01.1001.1002.1002.#appfire##appfire#Klickakart.klickakart.web.com.shop.view.organization.contactmanagement.CommunicationGroupMain#appfire##appfire#1#appfire#0#appfire#Communication Group#appfire##appfire#2F272628-EAD9-48A2-826D-B62733B51D2E#appfire#1#appfire#1#appfire#\N#appfire#0#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#2016-05-30 21:05:01#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#2016-05-30 21:05:01#appfire#1#appfire#1#appfire#51000#appfire#0
230EB3B3-27BB-4D56-A9FD-CE439FC3851B#appfire#01.1001.1001.1003.#appfire##appfire#Klickakart.klickakart.web.com.shop.view.organization.locationmanagement.CountryMain#appfire##appfire#1#appfire#0#appfire#Country#appfire##appfire#715E46A4-8F43-4743-B6E1-C579F11C2DCB#appfire#1#appfire#1#appfire#\N#appfire#0#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#2016-05-30 21:05:01#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#2016-05-30 21:05:01#appfire#1#appfire#1#appfire#51000#appfire#0
2A84ACD3-EAF8-4151-9142-79D177474A6A#appfire#04.1001.1001.1002.#appfire##appfire#Klickakart.view.appreportui.ReportView#appfire##appfire#1#appfire#0#appfire#Request Details#appfire##appfire#F87A3D41-24CE-46F4-A42C-4C70E0EC01C3#appfire#1#appfire#1#appfire#\N#appfire#0#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#2016-05-30 21:05:01#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#2016-05-30 21:05:01#appfire#1#appfire#1#appfire#51000#appfire#0
3940626F-2B60-46DD-BD22-278FA36E931E#appfire#01.1001.1003.#appfire##appfire##appfire#\N#appfire#1#appfire#0#appfire#usermanagement#appfire##appfire#null#appfire#1#appfire#1#appfire#\N#appfire#0#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#2016-05-30 21:05:01#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#2016-05-30 21:05:01#appfire#1#appfire#1#appfire#51000#appfire#0
3A9C9BA8-9744-45D4-A409-B9132BD2C3A2#appfire#04.1001.1005.1001.#appfire##appfire#Klickakart.view.scheduleconfiguration.ScheduleConfigMainView#appfire##appfire#1#appfire#0#appfire#Schedule Configuration#appfire##appfire#null#appfire#1#appfire#1#appfire#\N#appfire#0#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#2016-05-30 21:05:01#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#2016-05-30 21:05:01#appfire#1#appfire#1#appfire#51000#appfire#0
41A7F51A-936A-48D7-8B9D-34D195E161A8#appfire#02.#appfire##appfire##appfire##appfire#1#appfire#1#appfire#Klickkart#appfire##appfire#\N#appfire#1#appfire#1#appfire#\N#appfire#0#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#2016-05-30 21:05:01#appfire#ba9dced8-453e-49a3-b627-d497a1f91b17#appfire#2016-05-30 21:05:01#appfire#1#appfire#1#appfire#51000#appfire#0
